relative_path	classification	rationale
companion/gbm201data/inst/extdata/AMENDMENT_REGISTRY.tsv	SAFE_AGGREGATE	Publication/signature/resource registries, schema vocabulary, or file-integrity metadata; not subject measurements. Model and source-row keys identify signature declarations, not patient/sample/world units.
companion/gbm201data/inst/extdata/PRIMARY201_MANIFEST.tsv	SAFE_AGGREGATE	Publication/signature/resource registries, schema vocabulary, or file-integrity metadata; not subject measurements. Model and source-row keys identify signature declarations, not patient/sample/world units.
companion/gbm201data/inst/extdata/DERIVATION_CASCADE.tsv	SAFE_AGGREGATE	Publication/signature/resource registries, schema vocabulary, or file-integrity metadata; not subject measurements. Model and source-row keys identify signature declarations, not patient/sample/world units.
companion/gbm201data/inst/extdata/REPRESENTATION_REGISTRY.tsv	SAFE_AGGREGATE	Publication/signature/resource registries, schema vocabulary, or file-integrity metadata; not subject measurements. Model and source-row keys identify signature declarations, not patient/sample/world units.
companion/gbm201data/inst/extdata/EVALUABILITY_MATRIX.tsv	SAFE_AGGREGATE	Publication/signature/resource registries, schema vocabulary, or file-integrity metadata; not subject measurements. Model and source-row keys identify signature declarations, not patient/sample/world units.
companion/gbm201data/inst/extdata/EXCLUSION_LEDGER.tsv	SAFE_AGGREGATE	Publication/signature/resource registries, schema vocabulary, or file-integrity metadata; not subject measurements. Model and source-row keys identify signature declarations, not patient/sample/world units.
companion/gbm201data/inst/extdata/GENE_MEMBERSHIP_LONG.tsv	SAFE_SIGNATURE_DEFINITION	Publication/signature/resource registries, schema vocabulary, or file-integrity metadata; not subject measurements. Model and source-row keys identify signature declarations, not patient/sample/world units.
companion/gbm201data/inst/extdata/CLAIM_REGISTRY.tsv	SAFE_AGGREGATE	Publication/signature/resource registries, schema vocabulary, or file-integrity metadata; not subject measurements. Model and source-row keys identify signature declarations, not patient/sample/world units.
companion/gbm201data/inst/extdata/HASHES.tsv	SAFE_AGGREGATE	Publication/signature/resource registries, schema vocabulary, or file-integrity metadata; not subject measurements. Model and source-row keys identify signature declarations, not patient/sample/world units.
companion/gbm201data/inst/extdata/vocab/software_flag.tsv	SAFE_AGGREGATE	Publication/signature/resource registries, schema vocabulary, or file-integrity metadata; not subject measurements. Model and source-row keys identify signature declarations, not patient/sample/world units.
companion/gbm201data/inst/extdata/vocab/stop_reason.tsv	SAFE_AGGREGATE	Publication/signature/resource registries, schema vocabulary, or file-integrity metadata; not subject measurements. Model and source-row keys identify signature declarations, not patient/sample/world units.
companion/gbm201data/inst/extdata/vocab/terminal_state.tsv	SAFE_AGGREGATE	Publication/signature/resource registries, schema vocabulary, or file-integrity metadata; not subject measurements. Model and source-row keys identify signature declarations, not patient/sample/world units.
