exclusion_id	model_instance_id	rule_id	reason	stratum	source_file	source_row_key
EX-PF4C-B1-010	PF4C-B1-010	AUTHORITY_REGISTRY_DISPOSITION	COMPLETE_MEMBERSHIP	POST_FREEZE_DISCOVERY	GBM标签数据库/GBM_unified_registry_de_novo_benchmark_AuthorityV2_2026-07-23/02_authority/registry_authority_v2/extracted/GBM_legacy46_reconstructed_authority_v2_2026-07-23/11_UNIFIED_MODEL_INSTANCE_REGISTRY_AUTHORITY_V2.tsv	PF4C-B1-010
EX-PF4C-B1-018	PF4C-B1-018	AUTHORITY_REGISTRY_DISPOSITION	UNRESOLVED_MEMBERSHIP	POST_FREEZE_DISCOVERY	GBM标签数据库/GBM_unified_registry_de_novo_benchmark_AuthorityV2_2026-07-23/02_authority/registry_authority_v2/extracted/GBM_legacy46_reconstructed_authority_v2_2026-07-23/11_UNIFIED_MODEL_INSTANCE_REGISTRY_AUTHORITY_V2.tsv	PF4C-B1-018
EX-PF4C-B1-022	PF4C-B1-022	AUTHORITY_REGISTRY_DISPOSITION	COMPLETE_MEMBERSHIP	POST_FREEZE_DISCOVERY	GBM标签数据库/GBM_unified_registry_de_novo_benchmark_AuthorityV2_2026-07-23/02_authority/registry_authority_v2/extracted/GBM_legacy46_reconstructed_authority_v2_2026-07-23/11_UNIFIED_MODEL_INSTANCE_REGISTRY_AUTHORITY_V2.tsv	PF4C-B1-022
EX-PF4C-B1-023	PF4C-B1-023	AUTHORITY_REGISTRY_DISPOSITION	OFFSCOPE	POST_FREEZE_DISCOVERY	GBM标签数据库/GBM_unified_registry_de_novo_benchmark_AuthorityV2_2026-07-23/02_authority/registry_authority_v2/extracted/GBM_legacy46_reconstructed_authority_v2_2026-07-23/11_UNIFIED_MODEL_INSTANCE_REGISTRY_AUTHORITY_V2.tsv	PF4C-B1-023
EX-PF4C-B1-030	PF4C-B1-030	AUTHORITY_REGISTRY_DISPOSITION	COMPLETE_MEMBERSHIP	POST_FREEZE_DISCOVERY	GBM标签数据库/GBM_unified_registry_de_novo_benchmark_AuthorityV2_2026-07-23/02_authority/registry_authority_v2/extracted/GBM_legacy46_reconstructed_authority_v2_2026-07-23/11_UNIFIED_MODEL_INSTANCE_REGISTRY_AUTHORITY_V2.tsv	PF4C-B1-030
EX-PF4C-B2-004	PF4C-B2-004	AUTHORITY_REGISTRY_DISPOSITION	OFFSCOPE	POST_FREEZE_DISCOVERY	GBM标签数据库/GBM_unified_registry_de_novo_benchmark_AuthorityV2_2026-07-23/02_authority/registry_authority_v2/extracted/GBM_legacy46_reconstructed_authority_v2_2026-07-23/11_UNIFIED_MODEL_INSTANCE_REGISTRY_AUTHORITY_V2.tsv	PF4C-B2-004
EX-PF4C-B2-011	PF4C-B2-011	AUTHORITY_REGISTRY_DISPOSITION	UNRESOLVED_MEMBERSHIP	POST_FREEZE_DISCOVERY	GBM标签数据库/GBM_unified_registry_de_novo_benchmark_AuthorityV2_2026-07-23/02_authority/registry_authority_v2/extracted/GBM_legacy46_reconstructed_authority_v2_2026-07-23/11_UNIFIED_MODEL_INSTANCE_REGISTRY_AUTHORITY_V2.tsv	PF4C-B2-011
EX-PF4C-B2-012	PF4C-B2-012	AUTHORITY_REGISTRY_DISPOSITION	UNRESOLVED_MEMBERSHIP	POST_FREEZE_DISCOVERY	GBM标签数据库/GBM_unified_registry_de_novo_benchmark_AuthorityV2_2026-07-23/02_authority/registry_authority_v2/extracted/GBM_legacy46_reconstructed_authority_v2_2026-07-23/11_UNIFIED_MODEL_INSTANCE_REGISTRY_AUTHORITY_V2.tsv	PF4C-B2-012
EX-PF4C-B2-020	PF4C-B2-020	AUTHORITY_REGISTRY_DISPOSITION	COMPLETE_MEMBERSHIP	POST_FREEZE_DISCOVERY	GBM标签数据库/GBM_unified_registry_de_novo_benchmark_AuthorityV2_2026-07-23/02_authority/registry_authority_v2/extracted/GBM_legacy46_reconstructed_authority_v2_2026-07-23/11_UNIFIED_MODEL_INSTANCE_REGISTRY_AUTHORITY_V2.tsv	PF4C-B2-020
EX-PF4C-B2-024	PF4C-B2-024	AUTHORITY_REGISTRY_DISPOSITION	COMPLETE_MEMBERSHIP	POST_FREEZE_DISCOVERY	GBM标签数据库/GBM_unified_registry_de_novo_benchmark_AuthorityV2_2026-07-23/02_authority/registry_authority_v2/extracted/GBM_legacy46_reconstructed_authority_v2_2026-07-23/11_UNIFIED_MODEL_INSTANCE_REGISTRY_AUTHORITY_V2.tsv	PF4C-B2-024
