model_instance_id	gene_symbol	mapping_rule_id	resolved
PF4C-B1-001	PDPN	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	SLC27A3	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	CYB561D2	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	CHI3L1	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	DRG2	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	GRB10	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	HSBP1	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	ICAM1	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	ISG20	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	LGALS8	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	LOXL1	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	MDK	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	MEOX2	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	MSN	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	MT1E	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	MX1	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	MYD88	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	ATP2A1	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	PDGFA	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	BCL2A1	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	BDH1	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	S100A8	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	SDC2	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	TCTA	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	DYNLT3	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	TNFRSF1A	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	C1S	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
PF4C-B1-001	TSHR	FROZEN_ENTREZ_ONE_TO_ONE	TRUE
