model_instance_id	model_id	curation_lineage	publication_id	doi_or_pmid	source_stratum	feature_type	n_genes_published	n_genes_mapped	mapping_rule_id	gene_membership_hash	scoring_rule_id	claim_family	eligibility_status	flags	provenance_hash
PF4C-B1-001	PF4C-B1-001	POST_FREEZE_DISCOVERY	POST-PF4B0100	10.3892/ol.2019.10327	POST_FREEZE_DISCOVERY	Entrez Gene ID	31	31	FROZEN_V6_CROSSWALK_CANONICAL_UNIQUE_SORTED	6723fb4fe5f6f17e1f06d7ed451746814b1e3f9b9a77714bc0987221e0557746	UNSIGNED_UNWEIGHTED_MEAN_PRESENT_GENE_ZSCORES	NA	ELIGIBLE_RETAINED	NA	878a08bc18b8cc0270db5f9d5e0b41f5fafd9f97a119ecaa4881b0db7bc80817
PF4C-B1-002	PF4C-B1-002	POST_FREEZE_DISCOVERY	POST-PF4B0396	10.3389/fgene.2020.00253	POST_FREEZE_DISCOVERY	Gene expression	4	4	FROZEN_V6_CROSSWALK_CANONICAL_UNIQUE_SORTED	9e7be25a0825794a68e8dc4917ef2c20d7afc5e31f2c74ef0a1f169e70331531	UNSIGNED_UNWEIGHTED_MEAN_PRESENT_GENE_ZSCORES	NA	ELIGIBLE_RETAINED	NA	878a08bc18b8cc0270db5f9d5e0b41f5fafd9f97a119ecaa4881b0db7bc80817
PF4C-B1-003	PF4C-B1-003	POST_FREEZE_DISCOVERY	POST-PF4B0072	10.3389/fimmu.2022.1000396	POST_FREEZE_DISCOVERY	Gene expression	17	17	FROZEN_V6_CROSSWALK_CANONICAL_UNIQUE_SORTED	bf394a086c0135dbc893f14138c7cec48c9ccbf235be09a0f970ddbf2aecb416	UNSIGNED_UNWEIGHTED_MEAN_PRESENT_GENE_ZSCORES	NA	ELIGIBLE_RETAINED	NA	878a08bc18b8cc0270db5f9d5e0b41f5fafd9f97a119ecaa4881b0db7bc80817
PF4C-B1-004	PF4C-B1-004	POST_FREEZE_DISCOVERY	POST-PF4B0386	10.1186/s13287-023-03285-9	POST_FREEZE_DISCOVERY	Gene expression	8	8	FROZEN_V6_CROSSWALK_CANONICAL_UNIQUE_SORTED	f2fc228e8473ef3234f193ba75380957b662cfd565779a557aacd139d10d6d1b	UNSIGNED_UNWEIGHTED_MEAN_PRESENT_GENE_ZSCORES	NA	ELIGIBLE_RETAINED	NA	878a08bc18b8cc0270db5f9d5e0b41f5fafd9f97a119ecaa4881b0db7bc80817
PF4C-B1-005	PF4C-B1-005	POST_FREEZE_DISCOVERY	POST-PF4B0043	10.1002/cam4.5688	POST_FREEZE_DISCOVERY	gene symbol	7	7	FROZEN_V6_CROSSWALK_CANONICAL_UNIQUE_SORTED	c89e28c720339c49bb158a9d6370ef993ed68727d16bbdee51e3901edf26b206	UNSIGNED_UNWEIGHTED_MEAN_PRESENT_GENE_ZSCORES	NA	ELIGIBLE_RETAINED	NA	878a08bc18b8cc0270db5f9d5e0b41f5fafd9f97a119ecaa4881b0db7bc80817
PF4C-B1-006	PF4C-B1-006	POST_FREEZE_DISCOVERY	POST-PF4B0381	10.1007/s12672-026-04764-0	POST_FREEZE_DISCOVERY	gene symbol	11	11	FROZEN_V6_CROSSWALK_CANONICAL_UNIQUE_SORTED	2f07798e9710b234db83fa829fc75c4fdb439198d472be235fb0e07204f44b10	UNSIGNED_UNWEIGHTED_MEAN_PRESENT_GENE_ZSCORES	NA	ELIGIBLE_RETAINED	NA	878a08bc18b8cc0270db5f9d5e0b41f5fafd9f97a119ecaa4881b0db7bc80817
PF4C-B1-007	PF4C-B1-007	POST_FREEZE_DISCOVERY	POST-PF4B0102	10.1371/journal.pone.0126022	POST_FREEZE_DISCOVERY	gene symbol	6	6	FROZEN_V6_CROSSWALK_CANONICAL_UNIQUE_SORTED	609bcca36e8fdd370706e00c1dd34b48f4986ae1cfd7d11c3437399ad9edadee	UNSIGNED_UNWEIGHTED_MEAN_PRESENT_GENE_ZSCORES	NA	ELIGIBLE_RETAINED	NA	878a08bc18b8cc0270db5f9d5e0b41f5fafd9f97a119ecaa4881b0db7bc80817
PF4C-B1-008	PF4C-B1-008	POST_FREEZE_DISCOVERY	POST-PF4B0128	10.1155/2022/8972730	POST_FREEZE_DISCOVERY	Gene expression	8	8	FROZEN_V6_CROSSWALK_CANONICAL_UNIQUE_SORTED	1c4d6915f294cda163b14e577b8a581e60c247f1c09e72dcf154b8203fb13490	UNSIGNED_UNWEIGHTED_MEAN_PRESENT_GENE_ZSCORES	NA	ELIGIBLE_RETAINED	NA	878a08bc18b8cc0270db5f9d5e0b41f5fafd9f97a119ecaa4881b0db7bc80817
PF4C-B1-009	PF4C-B1-009	POST_FREEZE_DISCOVERY	POST-PF4B0039	10.1002/jmv.28285	POST_FREEZE_DISCOVERY	Gene expression	5	5	FROZEN_V6_CROSSWALK_CANONICAL_UNIQUE_SORTED	95360f251bd7a3ed1e88faf452a340bb4b2578daa1ec1d5fef13c34b9bdaf9c7	UNSIGNED_UNWEIGHTED_MEAN_PRESENT_GENE_ZSCORES	NA	ELIGIBLE_RETAINED	NA	878a08bc18b8cc0270db5f9d5e0b41f5fafd9f97a119ecaa4881b0db7bc80817
PF4C-B1-011	PF4C-B1-011	POST_FREEZE_DISCOVERY	POST-PF4B0016	10.4062/biomolther.2025.010	POST_FREEZE_DISCOVERY	Gene expression	4	4	FROZEN_V6_CROSSWALK_CANONICAL_UNIQUE_SORTED	147dd5efdd85f12598db44a0187b946e3adf9859ca35338b335043ca1d11b543	UNSIGNED_UNWEIGHTED_MEAN_PRESENT_GENE_ZSCORES	NA	ELIGIBLE_RETAINED	NA	878a08bc18b8cc0270db5f9d5e0b41f5fafd9f97a119ecaa4881b0db7bc80817
